EN,UN,EF,UF,Experiment
0.993333333333333,0.983333333333333,0.976666666666667,0.983333333333333,1
0.943333333333333,0.95,0.923333333333333,0.9,1
0.98,0.95,0.95,0.966666666666667,1
0.986666666666667,0.966666666666667,0.973333333333333,1,1
0.96,0.933333333333333,0.966666666666667,0.966666666666667,1
0.983333333333333,0.983333333333333,0.996666666666667,1,1
0.996666666666667,1,0.99,1,1
0.75,1,1,0.75,1
0.99,0.983333333333333,0.993333333333333,0.983333333333333,1
0.983333333333333,0.966666666666667,0.966666666666667,0.95,1
0.99,0.983333333333333,0.993333333333333,1,1
0.966666666666667,0.933333333333333,0.973333333333333,0.966666666666667,1
1,1,0.996666666666667,1,1
0.993333333333333,0.983333333333333,0.99,0.983333333333333,1
0.986666666666667,0.966666666666667,0.983333333333333,1,1
0.986666666666667,1,0.983333333333333,0.966666666666667,1
0.973333333333333,0.966666666666667,0.98,0.983333333333333,1
0.97,0.983333333333333,0.983333333333333,0.983333333333333,1
0.93,0.933333333333333,0.926666666666667,0.933333333333333,1
0.993333333333333,0.983333333333333,1,1,1
0.956666666666667,0.933333333333333,0.95,0.966666666666667,1
0.996666666666667,1,0.996666666666667,1,1
1,1,1,1,1
0.946666666666667,0.916666666666667,0.95,0.95,1
0.966666666666667,0.933333333333333,0.956666666666667,0.95,1
0.99,1,0.996666666666667,0.983333333333333,1
0.99,0.95,0.98,0.983333333333333,1
0.98,0.983333333333333,0.976666666666667,0.966666666666667,1
0.993333333333333,0.916666666666667,0.946666666666667,0.983333333333333,1
0.97,0.933333333333333,0.953333333333333,0.95,1
0.993333333333333,0.966666666666667,0.99,1,1
0.96,0.980952380952381,0.96952380952381,0.952380952380952,2
0.935238095238095,0.866666666666667,0.958095238095238,0.942857142857143,2
0.525714285714286,0.571428571428571,0.558095238095238,0.59047619047619,2
0.923809523809524,0.971428571428571,0.937142857142857,0.961904761904762,2
0.735238095238095,0.761904761904762,0.822857142857143,0.80952380952381,2
0.984761904761905,0.990476190476191,0.992380952380952,0.980952380952381,2
0.988571428571429,0.990476190476191,0.996190476190476,1,2
0.973333333333333,0.952380952380952,0.944761904761905,0.952380952380952,2
0.954285714285714,0.961904761904762,0.925714285714286,0.961904761904762,2
0.963809523809524,0.971428571428571,0.96952380952381,0.952380952380952,2
0.979047619047619,0.980952380952381,0.973333333333333,0.980952380952381,2
0.967619047619048,0.942857142857143,0.958095238095238,1,2
0.92,0.895238095238095,0.897142857142857,0.933333333333333,2
0.971428571428571,0.961904761904762,0.982857142857143,0.942857142857143,2
0.971428571428571,0.971428571428571,0.973333333333333,0.961904761904762,2
0.961904761904762,0.971428571428571,0.975238095238095,0.990476190476191,2
0.986666666666667,0.971428571428571,0.982857142857143,0.980952380952381,2
0.980952380952381,0.990476190476191,0.980952380952381,0.980952380952381,2
0.940952380952381,0.933333333333333,0.944761904761905,0.952380952380952,2
0.994285714285714,0.980952380952381,0.980952380952381,1,2
0.973333333333333,0.990476190476191,0.984761904761905,0.980952380952381,2
0.754285714285714,0.847619047619048,0.918095238095238,0.8,2
0.603809523809524,0.495238095238095,0.571428571428571,0.657142857142857,2
0.944761904761905,0.942857142857143,0.971428571428571,0.895238095238095,2
0.979047619047619,0.971428571428571,0.996190476190476,0.990476190476191,2
0.979047619047619,0.961904761904762,0.942857142857143,0.980952380952381,2
0.956190476190476,0.952380952380952,0.980952380952381,0.971428571428571,2
0.940952380952381,0.914285714285714,0.893333333333333,0.904761904761905,2
0.885714285714286,0.885714285714286,0.906666666666667,0.914285714285714,2
0.96952380952381,0.952380952380952,0.92,0.961904761904762,2
0.946666666666667,0.914285714285714,0.942857142857143,0.942857142857143,2
0.914285714285714,0.923809523809524,0.933333333333333,0.933333333333333,2
0.860952380952381,0.838095238095238,0.853333333333333,0.866666666666667,2
